2024-02-17 11:39:25.363 INFO  (qtp515273883-20-localhost-7) [c:techproducts s:shard1 r:core_node7 x:techproducts_shard1_replica_n4 t:localhost-7] o.a.s.c.ZkShardTerms Successful update of terms at /collections/techproducts/terms/shard1 to Terms{values={core_node7=0, core_node8=0}, version=1} for registerTerm
2024-02-17 11:39:25.364 INFO  (qtp515273883-20-localhost-7) [c:techproducts s:shard1 r:core_node7 x:techproducts_shard1_replica_n4 t:localhost-7] o.a.s.c.ShardLeaderElectionContextBase make sure parent is created /collections/techproducts/leaders/shard1
2024-02-17 11:39:25.376 INFO  (qtp515273883-27-localhost-7) [c:techproducts s:shard2 r:core_node3 x:techproducts_shard2_replica_n1 t:localhost-7] o.a.s.c.ZkShardTerms Successful update of terms at /collections/techproducts/terms/shard2 to Terms{values={core_node3=0, core_node5=0}, version=1} for registerTerm
2024-02-17 11:39:25.376 INFO  (qtp515273883-27-localhost-7) [c:techproducts s:shard2 r:core_node3 x:techproducts_shard2_replica_n1 t:localhost-7] o.a.s.c.ShardLeaderElectionContextBase make sure parent is created /collections/techproducts/leaders/shard2
2024-02-17 11:39:25.847 INFO  (qtp515273883-57-localhost-7) [c:techproducts s:shard1 r:core_node7 x:techproducts_shard1_replica_n4 t:localhost-7] o.a.s.c.S.Request webapp=/solr path=/get params={distrib=false&qt=/get&fingerprint=false&getVersions=100&wt=javabin&version=2} status=0 QTime=2
2024-02-17 11:39:25.847 INFO  (qtp515273883-19-localhost-7) [c:techproducts s:shard2 r:core_node3 x:techproducts_shard2_replica_n1 t:localhost-7] o.a.s.c.S.Request webapp=/solr path=/get params={distrib=false&qt=/get&fingerprint=false&getVersions=100&wt=javabin&version=2} status=0 QTime=2
2024-02-17 11:39:26.401 INFO  (qtp515273883-20-localhost-7) [c: s: r: x: t:localhost-7] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={qt=/admin/cores&coreNodeName=core_node7&collection.configName=techproducts&newCollection=true&name=techproducts_shard1_replica_n4&action=CREATE&numShards=2&collection=techproducts&shard=shard1&wt=javabin&version=2&replicaType=NRT} status=0 QTime=1672
2024-02-17 11:39:26.403 INFO  (qtp515273883-27-localhost-7) [c: s: r: x: t:localhost-7] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={qt=/admin/cores&coreNodeName=core_node3&collection.configName=techproducts&newCollection=true&name=techproducts_shard2_replica_n1&action=CREATE&numShards=2&collection=techproducts&shard=shard2&wt=javabin&version=2&replicaType=NRT} status=0 QTime=1675
2024-02-17 11:39:26.415 INFO  (qtp515273883-26-localhost-3) [c:techproducts s: r: x: t:localhost-3] o.a.s.h.a.CollectionsHandler Wait for new collection to be active for at most 45 seconds. Check all shard replicas
2024-02-17 11:39:26.509 INFO  (zkCallback-11-thread-1) [c: s: r: x: t:] o.a.s.c.c.ZkStateReader A cluster state change: [WatchedEvent state:SyncConnected type:NodeDataChanged path:/collections/techproducts/state.json zxid: 243] for collection [techproducts] has occurred - updating... (live nodes size: [2])
2024-02-17 11:39:26.515 INFO  (qtp515273883-26-localhost-3) [c:techproducts s: r: x: t:localhost-3] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/collections params={collection.configName=techproducts&name=techproducts&nrtReplicas=2&action=CREATE&numShards=2&wt=javabin&version=2} status=0 QTime=2123
